ind,treatment,spp,Live_tissue,bleaching,day,time
5,hypoxic,A_tenuifolia,90,0,Day_2,2
13,hypoxic,A_tenuifolia,50,0,Day_2,2
18,hypoxic,A_tenuifolia,50,0,Day_2,2
24,hypoxic,A_tenuifolia,30,0,Day_2,2
30,hypoxic,A_tenuifolia,90,0,Day_2,2
1,hypoxic,A_tenuifolia,10,0,Day_2,2
4,hypoxic,S_siderea,100,1,Day_2,2
7,control,S_siderea,100,0,Day_2,2
14,control,S_siderea,100,0,Day_2,2
19,control,S_siderea,100,0,Day_2,2
25,control,S_siderea,100,0,Day_2,2
29,control,S_siderea,100,0,Day_2,2
3,control,A_tenuifolia,100,0,Day_2,2
10,control,A_tenuifolia,100,0,Day_2,2
17,control,A_tenuifolia,100,0,Day_2,2
21,control,A_tenuifolia,100,0,Day_2,2
26,control,A_tenuifolia,100,0,Day_2,2
6,tented_control,S_siderea,100,0,Day_2,2
9,tented_control,S_siderea,100,0,Day_2,2
15,tented_control,S_siderea,100,0,Day_2,2
23,tented_control,S_siderea,100,0,Day_2,2
32,tented_control,S_siderea,100,0,Day_2,2
8,tented_control,A_tenuifolia,100,0,Day_2,2
11,tented_control,A_tenuifolia,100,0,Day_2,2
22,tented_control,A_tenuifolia,100,0,Day_2,2
28,tented_control,A_tenuifolia,100,0,Day_2,2
2,tented_control,A_tenuifolia,100,0,Day_2,2
12,hypoxic,S_siderea,100,1,Day_2,2
16,hypoxic,S_siderea,100,0,Day_2,2
20,hypoxic,S_siderea,100,1,Day_2,2
27,hypoxic,S_siderea,100,1,Day_2,2
31,hypoxic,S_siderea,100,1,Day_2,2
4,hypoxic,S_siderea,100,0,Day_5,5
12,hypoxic,S_siderea,100,0,Day_5,5
16,hypoxic,S_siderea,100,0,Day_5,5
20,hypoxic,S_siderea,100,0,Day_5,5
27,hypoxic,S_siderea,100,1,Day_5,5
31,hypoxic,S_siderea,100,0,Day_5,5
5,hypoxic,A_tenuifolia,85,0,Day_5,5
13,hypoxic,A_tenuifolia,5,0,Day_5,5
18,hypoxic,A_tenuifolia,0,0,Day_5,5
24,hypoxic,A_tenuifolia,92,0,Day_5,5
30,hypoxic,A_tenuifolia,0,0,Day_5,5
1,hypoxic,A_tenuifolia,0,0,Day_5,5
7,control,S_siderea,100,0,Day_5,5
14,control,S_siderea,100,0,Day_5,5
19,control,S_siderea,100,0,Day_5,5
25,control,S_siderea,100,0,Day_5,5
29,control,S_siderea,100,0,Day_5,5
3,control,A_tenuifolia,100,0,Day_5,5
10,control,A_tenuifolia,100,0,Day_5,5
17,control,A_tenuifolia,100,0,Day_5,5
21,control,A_tenuifolia,100,0,Day_5,5
26,control,A_tenuifolia,100,0,Day_5,5
6,tented_control,S_siderea,100,0,Day_5,5
9,tented_control,S_siderea,100,0,Day_5,5
15,tented_control,S_siderea,100,0,Day_5,5
23,tented_control,S_siderea,100,0,Day_5,5
32,tented_control,S_siderea,100,0,Day_5,5
8,tented_control,A_tenuifolia,100,0,Day_5,5
11,tented_control,A_tenuifolia,100,0,Day_5,5
22,tented_control,A_tenuifolia,100,0,Day_5,5
28,tented_control,A_tenuifolia,100,0,Day_5,5
2,tented_control,A_tenuifolia,100,0,Day_5,5
5,hypoxic,A_tenuifolia,100,0,Day_0,0
13,hypoxic,A_tenuifolia,100,0,Day_0,0
18,hypoxic,A_tenuifolia,100,0,Day_0,0
24,hypoxic,A_tenuifolia,100,0,Day_0,0
30,hypoxic,A_tenuifolia,100,0,Day_0,0
1,hypoxic,A_tenuifolia,100,0,Day_0,0
4,hypoxic,S_siderea,100,0,Day_0,0
7,control,S_siderea,100,0,Day_0,0
14,control,S_siderea,100,0,Day_0,0
19,control,S_siderea,100,0,Day_0,0
25,control,S_siderea,100,0,Day_0,0
29,control,S_siderea,100,0,Day_0,0
3,control,A_tenuifolia,100,0,Day_0,0
10,control,A_tenuifolia,100,0,Day_0,0
17,control,A_tenuifolia,100,0,Day_0,0
21,control,A_tenuifolia,100,0,Day_0,0
26,control,A_tenuifolia,100,0,Day_0,0
6,tented_control,S_siderea,100,0,Day_0,0
9,tented_control,S_siderea,100,0,Day_0,0
15,tented_control,S_siderea,100,0,Day_0,0
23,tented_control,S_siderea,100,0,Day_0,0
32,tented_control,S_siderea,100,0,Day_0,0
8,tented_control,A_tenuifolia,100,0,Day_0,0
11,tented_control,A_tenuifolia,100,0,Day_0,0
22,tented_control,A_tenuifolia,100,0,Day_0,0
28,tented_control,A_tenuifolia,100,0,Day_0,0
2,tented_control,A_tenuifolia,100,0,Day_0,0
12,hypoxic,S_siderea,100,0,Day_0,0
16,hypoxic,S_siderea,100,0,Day_0,0
20,hypoxic,S_siderea,100,0,Day_0,0
27,hypoxic,S_siderea,100,0,Day_0,0
31,hypoxic,S_siderea,100,0,Day_0,0